neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
Greenpoint,49.0,4.0,138.0,1.19,3.0,320.0,0,1,0,0,0,0,1,0
SoHo,180.0,30.0,21.0,0.3,1.0,154.0,0,0,1,0,0,1,0,0
Williamsburg,80.0,2.0,42.0,0.38,1.0,263.0,0,1,0,0,0,0,1,0
Chelsea,375.0,180.0,5.0,0.12,1.0,180.0,0,0,1,0,0,1,0,0
Upper East Side,250.0,2.0,66.0,0.57,2.0,231.0,0,0,1,0,0,1,0,0
Prospect Heights,200.0,30.0,143.0,1.33,2.0,297.0,0,1,0,0,0,1,0,0
Clinton Hill,55.0,7.0,27.0,0.23,2.0,292.0,0,1,0,0,0,0,1,0
Hell's Kitchen,52.0,30.0,191.0,1.65,1.0,191.0,0,0,1,0,0,0,1,0
Park Slope,225.0,3.0,4.0,0.16,1.0,0.0,0,1,0,0,0,1,0,0
East Village,80.0,1.0,338.0,4.72,2.0,72.0,0,0,1,0,0,0,1,0
Williamsburg,275.0,1.0,148.0,1.4,1.0,362.0,0,1,0,0,0,1,0,0
East Village,99.0,1.0,106.0,1.26,2.0,336.0,0,0,1,0,0,0,1,0
East Harlem,225.0,4.0,190.0,1.64,1.0,215.0,0,0,1,0,0,1,0,0
East Village,230.0,9.0,49.0,0.43,1.0,116.0,0,0,1,0,0,1,0,0
Hell's Kitchen,51.0,7.0,23.0,0.43,1.0,88.0,0,0,1,0,0,0,1,0
Washington Heights,65.0,2.0,49.0,1.6,2.0,336.0,0,0,1,0,0,0,1,0
Clinton Hill,105.0,2.0,105.0,0.92,1.0,304.0,0,1,0,0,0,0,1,0
East Village,190.0,5.0,21.0,0.2,1.0,224.0,0,0,1,0,0,1,0,0
Upper East Side,200.0,1.0,142.0,1.5,1.0,322.0,0,0,1,0,0,0,1,0
Woodside,70.0,30.0,25.0,0.22,1.0,324.0,0,0,0,1,0,0,1,0
Fort Greene,95.0,3.0,143.0,1.28,1.0,132.0,0,1,0,0,0,0,1,0
Chelsea,150.0,3.0,167.0,1.65,1.0,295.0,0,0,1,0,0,0,1,0
Williamsburg,145.0,3.0,61.0,0.54,4.0,238.0,0,1,0,0,0,0,1,0
Harlem,110.0,31.0,54.0,0.49,1.0,209.0,0,0,1,0,0,1,0,0
Lower East Side,285.0,5.0,70.0,0.62,1.0,328.0,0,0,1,0,0,1,0,0
Flatbush,130.0,6.0,16.0,0.15,1.0,38.0,0,1,0,0,0,1,0,0
Lower East Side,94.0,30.0,94.0,0.84,1.0,188.0,0,0,1,0,0,0,1,0
Brooklyn Heights,800.0,1.0,25.0,0.24,1.0,7.0,0,1,0,0,0,1,0,0
Williamsburg,105.0,3.0,61.0,0.53,1.0,272.0,0,1,0,0,0,1,0,0
East Village,60.0,3.0,194.0,1.73,1.0,26.0,0,0,1,0,0,0,1,0
East Village,50.0,1.0,2.0,0.05,1.0,0.0,0,0,1,0,0,0,1,0
Williamsburg,85.0,3.0,174.0,1.54,4.0,288.0,0,1,0,0,0,0,1,0
Bushwick,65.0,4.0,24.0,0.28,1.0,317.0,0,1,0,0,0,0,1,0
Prospect Heights,131.0,4.0,166.0,3.4,1.0,207.0,0,1,0,0,0,1,0,0
Clinton Hill,98.0,7.0,16.0,0.2,6.0,185.0,0,1,0,0,0,0,1,0
Prospect Heights,250.0,7.0,21.0,0.3,1.0,158.0,0,1,0,0,0,1,0,0
Williamsburg,100.0,5.0,168.0,1.57,1.0,0.0,0,1,0,0,0,1,0,0
Bushwick,105.0,3.0,118.0,1.05,2.0,9.0,0,1,0,0,0,1,0,0
Upper West Side,140.0,3.0,81.0,0.71,1.0,198.0,0,0,1,0,0,1,0,0
Harlem,89.0,1.0,1.0,0.11,1.0,365.0,0,0,1,0,0,0,1,0
Chelsea,98.0,30.0,30.0,0.27,2.0,364.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,125.0,7.0,139.0,1.23,2.0,311.0,0,1,0,0,0,1,0,0
Harlem,60.0,3.0,11.0,0.87,3.0,219.0,0,0,1,0,0,0,1,0
Carroll Gardens,175.0,2.0,233.0,2.09,3.0,342.0,0,1,0,0,0,1,0,0
Washington Heights,65.0,2.0,68.0,0.6,1.0,312.0,0,0,1,0,0,0,1,0
West Village,500.0,4.0,46.0,0.55,2.0,243.0,0,0,1,0,0,1,0,0
Williamsburg,101.0,3.0,335.0,3.02,1.0,152.0,0,1,0,0,0,0,1,0
Park Slope,220.0,30.0,88.0,0.79,1.0,9.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,125.0,90.0,162.0,1.46,2.0,137.0,0,1,0,0,0,1,0,0
Williamsburg,80.0,30.0,29.0,0.4,1.0,222.0,0,1,0,0,0,1,0,0
Harlem,100.0,2.0,170.0,1.61,1.0,346.0,0,0,1,0,0,0,1,0
Gowanus,200.0,30.0,19.0,0.2,1.0,208.0,0,1,0,0,0,1,0,0
Hell's Kitchen,59.0,2.0,334.0,3.0,2.0,279.0,0,0,1,0,0,0,1,0
Clinton Hill,125.0,2.0,19.0,0.2,6.0,250.0,0,1,0,0,0,0,1,0
East Village,140.0,7.0,12.0,0.13,1.0,164.0,0,0,1,0,0,1,0,0
South Slope,120.0,30.0,467.0,4.22,2.0,192.0,0,1,0,0,0,1,0,0
East Village,350.0,2.0,7.0,0.06,4.0,298.0,0,0,1,0,0,1,0,0
Kips Bay,199.0,5.0,38.0,0.38,1.0,260.0,0,0,1,0,0,1,0,0
Williamsburg,325.0,3.0,324.0,3.01,1.0,107.0,0,1,0,0,0,1,0,0
Upper West Side,235.0,6.0,27.0,0.27,1.0,199.0,0,0,1,0,0,1,0,0
East Village,225.0,1.0,115.0,1.05,4.0,299.0,0,0,1,0,0,1,0,0
South Slope,99.0,2.0,354.0,3.2,3.0,20.0,0,1,0,0,0,0,1,0
Harlem,170.0,2.0,195.0,2.03,1.0,318.0,0,0,1,0,0,1,0,0
South Slope,400.0,2.0,16.0,0.24,2.0,216.0,0,1,0,0,0,1,0,0
Upper West Side,170.0,7.0,13.0,0.12,1.0,224.0,0,0,1,0,0,1,0,0
East Village,100.0,4.0,25.0,0.23,1.0,0.0,0,0,1,0,0,1,0,0
Prospect-Lefferts Gardens,75.0,2.0,9.0,0.08,1.0,324.0,0,1,0,0,0,0,1,0
Williamsburg,90.0,1.0,9.0,0.08,1.0,245.0,0,1,0,0,0,0,1,0
Upper East Side,150.0,5.0,21.0,0.19,1.0,189.0,0,0,1,0,0,1,0,0
Washington Heights,85.0,15.0,36.0,0.33,1.0,307.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,70.0,3.0,63.0,0.58,2.0,310.0,0,1,0,0,0,0,1,0
Harlem,120.0,3.0,155.0,1.42,3.0,213.0,0,0,1,0,0,1,0,0
Clinton Hill,89.0,3.0,260.0,2.35,1.0,278.0,0,1,0,0,0,0,1,0
East Village,185.0,5.0,73.0,0.66,1.0,209.0,0,0,1,0,0,1,0,0
Greenpoint,50.0,3.0,193.0,1.86,1.0,0.0,0,1,0,0,0,0,1,0
Lower East Side,105.0,3.0,32.0,0.29,1.0,16.0,0,0,1,0,0,1,0,0
Hell's Kitchen,130.0,2.0,50.0,0.45,3.0,234.0,0,0,1,0,0,0,1,0
West Village,115.0,29.0,26.0,0.25,1.0,12.0,0,0,1,0,0,1,0,0
Flatlands,77.0,2.0,2.0,0.02,1.0,178.0,0,1,0,0,0,0,1,0
Clinton Hill,76.0,2.0,426.0,3.89,3.0,275.0,0,1,0,0,0,0,1,0
Bedford-Stuyvesant,125.0,3.0,227.0,2.09,2.0,163.0,0,1,0,0,0,1,0,0
Clinton Hill,135.0,4.0,84.0,0.77,3.0,365.0,0,1,0,0,0,0,1,0
Greenpoint,250.0,29.0,3.0,0.03,1.0,34.0,0,1,0,0,0,1,0,0
Williamsburg,199.0,3.0,10.0,0.1,1.0,280.0,0,1,0,0,0,1,0,0
Cobble Hill,140.0,2.0,4.0,0.04,1.0,0.0,0,1,0,0,0,1,0,0
Flushing,140.0,2.0,1.0,0.01,1.0,1.0,0,0,0,1,0,0,1,0
Bedford-Stuyvesant,115.0,3.0,124.0,1.72,2.0,170.0,0,1,0,0,0,1,0,0
Williamsburg,160.0,3.0,11.0,0.11,1.0,188.0,0,1,0,0,0,1,0,0
Williamsburg,195.0,4.0,240.0,2.19,1.0,214.0,0,1,0,0,0,1,0,0
East Village,195.0,3.0,30.0,0.28,1.0,248.0,0,0,1,0,0,1,0,0
Williamsburg,80.0,3.0,200.0,1.86,4.0,262.0,0,1,0,0,0,0,1,0
Fort Greene,44.0,8.0,27.0,1.05,5.0,280.0,0,1,0,0,0,0,1,0
West Village,156.0,4.0,79.0,0.74,1.0,307.0,0,0,1,0,0,0,1,0
Prospect Heights,85.0,15.0,9.0,0.09,1.0,339.0,0,1,0,0,0,0,1,0
Williamsburg,125.0,3.0,155.0,1.61,1.0,1.0,0,1,0,0,0,0,1,0
Prospect Heights,115.0,15.0,4.0,0.05,1.0,269.0,0,1,0,0,0,1,0,0
East Harlem,69.0,2.0,34.0,0.32,1.0,10.0,0,0,1,0,0,0,1,0
West Village,225.0,45.0,134.0,1.24,1.0,312.0,0,0,1,0,0,1,0,0
Williamsburg,125.0,6.0,27.0,0.25,1.0,189.0,0,1,0,0,0,1,0,0
Upper East Side,219.0,4.0,126.0,1.16,2.0,290.0,0,0,1,0,0,1,0,0
Boerum Hill,475.0,3.0,23.0,0.27,1.0,230.0,0,1,0,0,0,1,0,0
Upper East Side,99.0,1.0,234.0,2.6,2.0,164.0,0,0,1,0,0,1,0,0
Williamsburg,69.0,4.0,202.0,1.86,2.0,53.0,0,1,0,0,0,0,1,0
Sunnyside,79.0,30.0,28.0,0.26,1.0,126.0,0,0,0,1,0,0,1,0
Bedford-Stuyvesant,135.0,2.0,309.0,2.86,2.0,3.0,0,1,0,0,0,1,0,0
DUMBO,250.0,3.0,14.0,0.13,1.0,189.0,0,1,0,0,0,0,1,0
Upper East Side,250.0,3.0,4.0,0.08,1.0,365.0,0,0,1,0,0,1,0,0
Gowanus,250.0,2.0,80.0,2.17,1.0,0.0,0,1,0,0,0,1,0,0
Harlem,80.0,3.0,2.0,0.04,1.0,0.0,0,0,1,0,0,1,0,0
Clinton Hill,70.0,2.0,294.0,3.47,3.0,336.0,0,1,0,0,0,0,1,0
Carroll Gardens,165.0,2.0,150.0,1.4,3.0,342.0,0,1,0,0,0,1,0,0
St. George,70.0,2.0,166.0,1.66,1.0,312.0,0,0,0,0,1,0,1,0
Bushwick,50.0,2.0,47.0,0.94,1.0,37.0,0,1,0,0,0,0,1,0
Highbridge,40.0,1.0,219.0,2.04,3.0,353.0,1,0,0,0,0,0,1,0
Williamsburg,150.0,2.0,193.0,1.78,1.0,177.0,0,1,0,0,0,1,0,0
East Village,125.0,1.0,84.0,0.78,4.0,310.0,0,0,1,0,0,0,1,0
Financial District,196.0,3.0,114.0,1.06,1.0,0.0,0,0,1,0,0,1,0,0
Fort Greene,110.0,2.0,213.0,2.0,2.0,321.0,0,1,0,0,0,0,1,0
West Village,170.0,3.0,86.0,0.8,1.0,246.0,0,0,1,0,0,1,0,0
Harlem,165.0,3.0,80.0,0.75,3.0,231.0,0,0,1,0,0,1,0,0
West Village,150.0,26.0,38.0,0.36,1.0,225.0,0,0,1,0,0,1,0,0
Harlem,100.0,2.0,18.0,1.79,1.0,0.0,0,0,1,0,0,1,0,0
Fort Greene,65.0,2.0,206.0,1.92,2.0,0.0,0,1,0,0,0,0,1,0
Ridgewood,350.0,8.0,10.0,0.11,5.0,365.0,0,0,0,1,0,1,0,0
Morningside Heights,99.0,4.0,122.0,1.18,2.0,233.0,0,0,1,0,0,0,1,0
Williamsburg,200.0,4.0,33.0,0.58,1.0,1.0,0,1,0,0,0,1,0,0
Park Slope,150.0,5.0,52.0,0.5,1.0,18.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,90.0,3.0,126.0,1.17,4.0,343.0,0,1,0,0,0,0,1,0
Prospect Heights,120.0,3.0,51.0,0.48,3.0,250.0,0,1,0,0,0,0,1,0
Upper East Side,75.0,3.0,199.0,1.85,1.0,326.0,0,0,1,0,0,0,1,0
Bedford-Stuyvesant,175.0,26.0,30.0,0.29,1.0,364.0,0,1,0,0,0,1,0,0
Chelsea,125.0,3.0,3.0,0.03,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,275.0,1.0,41.0,0.38,1.0,299.0,0,0,1,0,0,1,0,0
Lower East Side,299.0,2.0,109.0,1.04,1.0,207.0,0,0,1,0,0,1,0,0
Upper East Side,130.0,14.0,0.0,0.0,2.0,0.0,0,0,1,0,0,0,1,0
Lower East Side,83.0,1.0,285.0,2.69,1.0,7.0,0,0,1,0,0,0,1,0
Chelsea,123.0,1.0,375.0,3.52,1.0,328.0,0,0,1,0,0,0,1,0
Jamaica,55.0,2.0,52.0,0.49,2.0,365.0,0,0,0,1,0,0,1,0
Hell's Kitchen,195.0,5.0,10.0,1.01,1.0,0.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,80.0,2.0,11.0,0.48,1.0,0.0,0,1,0,0,0,0,1,0
Middle Village,98.0,30.0,33.0,0.31,5.0,240.0,0,0,0,1,0,1,0,0
Ridgewood,140.0,7.0,6.0,0.06,5.0,365.0,0,0,0,1,0,0,1,0
Middle Village,265.0,7.0,38.0,0.38,5.0,365.0,0,0,0,1,0,1,0,0
Williamsburg,249.0,2.0,358.0,3.44,2.0,164.0,0,1,0,0,0,1,0,0
Hell's Kitchen,105.0,6.0,10.0,0.09,1.0,363.0,0,0,1,0,0,0,0,1
Harlem,200.0,30.0,0.0,0.0,1.0,365.0,0,0,1,0,0,0,1,0
Prospect Heights,100.0,2.0,226.0,2.12,3.0,250.0,0,1,0,0,0,0,1,0
Harlem,121.0,1.0,104.0,1.0,5.0,247.0,0,0,1,0,0,1,0,0
Highbridge,45.0,1.0,138.0,1.45,3.0,323.0,1,0,0,0,0,0,1,0
East Harlem,100.0,5.0,204.0,1.92,1.0,192.0,0,0,1,0,0,0,1,0
Williamsburg,140.0,2.0,253.0,3.04,1.0,125.0,0,1,0,0,0,1,0,0
Bedford-Stuyvesant,71.0,2.0,23.0,0.22,1.0,91.0,0,1,0,0,0,0,1,0
NoHo,130.0,2.0,115.0,1.17,1.0,75.0,0,0,1,0,0,0,1,0
West Village,199.0,5.0,129.0,1.22,1.0,286.0,0,0,1,0,0,1,0,0
Williamsburg,69.0,4.0,82.0,1.13,2.0,60.0,0,1,0,0,0,0,1,0
Fort Greene,68.0,3.0,37.0,0.35,1.0,0.0,0,1,0,0,0,0,1,0
East Village,130.0,1.0,204.0,2.04,1.0,192.0,0,0,1,0,0,1,0,0
Greenpoint,195.0,2.0,69.0,0.65,1.0,58.0,0,1,0,0,0,1,0,0
Harlem,64.0,1.0,192.0,1.84,5.0,245.0,0,0,1,0,0,0,1,0
Ditmars Steinway,140.0,2.0,17.0,0.16,1.0,292.0,0,0,0,1,0,1,0,0
Cobble Hill,159.0,2.0,222.0,2.12,1.0,279.0,0,1,0,0,0,1,0,0
East Village,189.0,3.0,205.0,1.96,1.0,0.0,0,0,1,0,0,1,0,0
Hell's Kitchen,250.0,3.0,94.0,0.96,1.0,3.0,0,0,1,0,0,1,0,0
East Village,239.0,3.0,7.0,0.07,1.0,351.0,0,0,1,0,0,1,0,0
Flatiron District,305.0,2.0,108.0,1.09,1.0,201.0,0,0,1,0,0,1,0,0
Harlem,155.0,3.0,222.0,2.1,2.0,232.0,0,0,1,0,0,1,0,0
Harlem,60.0,1.0,458.0,4.58,2.0,258.0,0,0,1,0,0,0,1,0
Windsor Terrace,135.0,2.0,21.0,0.26,1.0,272.0,0,1,0,0,0,0,1,0
Roosevelt Island,120.0,7.0,17.0,0.3,1.0,341.0,0,0,1,0,0,0,1,0
Lower East Side,150.0,3.0,41.0,0.39,1.0,244.0,0,0,1,0,0,1,0,0
Ridgewood,140.0,14.0,1.0,0.01,5.0,365.0,0,0,0,1,0,1,0,0
Greenpoint,135.0,2.0,69.0,0.67,1.0,12.0,0,1,0,0,0,1,0,0
Chinatown,250.0,4.0,18.0,0.18,2.0,265.0,0,0,1,0,0,1,0,0
Midtown,250.0,30.0,82.0,0.78,1.0,0.0,0,0,1,0,0,1,0,0
SoHo,500.0,4.0,94.0,0.99,1.0,329.0,0,0,1,0,0,1,0,0
Greenwich Village,225.0,5.0,10.0,0.1,1.0,91.0,0,0,1,0,0,1,0,0
East Harlem,125.0,28.0,183.0,1.83,2.0,365.0,0,0,1,0,0,1,0,0
Harlem,92.0,1.0,189.0,1.82,5.0,253.0,0,0,1,0,0,0,1,0
Harlem,175.0,2.0,1.0,0.11,1.0,365.0,0,0,1,0,0,0,1,0
East Village,99.0,2.0,127.0,1.22,1.0,320.0,0,0,1,0,0,1,0,0
Upper West Side,195.0,4.0,4.0,0.04,1.0,0.0,0,0,1,0,0,1,0,0
East Harlem,140.0,3.0,135.0,1.3,3.0,192.0,0,0,1,0,0,1,0,0
Little Italy,135.0,2.0,21.0,0.2,1.0,0.0,0,0,1,0,0,1,0,0
Chelsea,500.0,2.0,35.0,0.34,1.0,348.0,0,0,1,0,0,1,0,0
Harlem,80.0,14.0,10.0,2.21,2.0,0.0,0,0,1,0,0,0,1,0
Chinatown,120.0,4.0,171.0,1.8,2.0,353.0,0,0,1,0,0,0,1,0
Midtown,110.0,200.0,92.0,0.9,1.0,140.0,0,0,1,0,0,1,0,0
East Flatbush,65.0,3.0,238.0,2.3,1.0,2.0,0,1,0,0,0,1,0,0
East Village,130.0,50.0,56.0,0.58,1.0,56.0,0,0,1,0,0,1,0,0
Bushwick,99.0,3.0,111.0,2.13,1.0,68.0,0,1,0,0,0,1,0,0
Tompkinsville,36.0,2.0,193.0,1.85,6.0,360.0,0,0,0,0,1,0,1,0
Tompkinsville,37.0,2.0,147.0,1.44,6.0,0.0,0,0,0,0,1,0,1,0
Tompkinsville,37.0,2.0,177.0,1.71,6.0,320.0,0,0,0,0,1,0,1,0
East Village,175.0,3.0,185.0,1.78,2.0,326.0,0,0,1,0,0,1,0,0
Chelsea,205.0,9.0,62.0,0.7,2.0,76.0,0,0,1,0,0,1,0,0
Greenpoint,285.0,3.0,124.0,1.22,3.0,279.0,0,1,0,0,0,1,0,0
Williamsburg,59.0,2.0,181.0,1.77,2.0,15.0,0,1,0,0,0,0,1,0
Tompkinsville,36.0,2.0,333.0,3.19,6.0,340.0,0,0,0,0,1,0,1,0
Astoria,99.0,5.0,441.0,4.5,1.0,226.0,0,0,0,1,0,1,0,0
Kensington,39.0,1.0,45.0,0.46,2.0,365.0,0,1,0,0,0,0,1,0
Park Slope,60.0,14.0,9.0,0.09,2.0,0.0,0,1,0,0,0,0,1,0
Clason Point,90.0,2.0,0.0,0.0,7.0,349.0,1,0,0,0,0,0,1,0
Eastchester,105.0,2.0,38.0,0.5,13.0,365.0,1,0,0,0,0,1,0,0
Bedford-Stuyvesant,135.0,2.0,248.0,2.39,2.0,11.0,0,1,0,0,0,1,0,0
East Village,390.0,5.0,143.0,1.38,2.0,316.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,70.0,3.0,36.0,0.41,4.0,281.0,0,1,0,0,0,0,1,0
Inwood,75.0,7.0,0.0,0.0,2.0,323.0,0,0,1,0,0,0,1,0
Williamsburg,60.0,17.0,14.0,0.14,4.0,362.0,0,1,0,0,0,0,1,0
East Village,200.0,3.0,0.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0
Crown Heights,100.0,3.0,279.0,2.69,1.0,301.0,0,1,0,0,0,0,1,0
Bedford-Stuyvesant,70.0,4.0,18.0,0.22,4.0,189.0,0,1,0,0,0,0,1,0
Crown Heights,110.0,6.0,50.0,3.55,1.0,0.0,0,1,0,0,0,0,1,0
Crown Heights,60.0,2.0,227.0,2.27,2.0,287.0,0,1,0,0,0,0,1,0
Little Italy,90.0,14.0,1.0,0.16,1.0,14.0,0,0,1,0,0,1,0,0
East Village,68.0,2.0,203.0,1.96,2.0,86.0,0,0,1,0,0,0,1,0
Upper West Side,115.0,2.0,210.0,2.1,1.0,261.0,0,0,1,0,0,1,0,0
Bedford-Stuyvesant,75.0,5.0,64.0,0.67,1.0,68.0,0,1,0,0,0,0,1,0
Williamsburg,60.0,3.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0
East Village,129.0,7.0,5.0,0.15,1.0,231.0,0,0,1,0,0,1,0,0
Williamsburg,130.0,10.0,49.0,0.48,1.0,152.0,0,1,0,0,0,1,0,0
Williamsburg,95.0,4.0,132.0,1.27,1.0,46.0,0,1,0,0,0,1,0,0
Harlem,75.0,3.0,20.0,0.26,1.0,364.0,0,0,1,0,0,0,1,0
Park Slope,175.0,2.0,11.0,0.11,1.0,246.0,0,1,0,0,0,1,0,0
Carroll Gardens,190.0,3.0,51.0,0.57,1.0,288.0,0,1,0,0,0,1,0,0
Crown Heights,49.0,21.0,15.0,0.15,5.0,331.0,0,1,0,0,0,0,1,0
East Village,212.0,3.0,67.0,1.31,1.0,51.0,0,0,1,0,0,1,0,0
Lower East Side,95.0,1.0,109.0,1.11,3.0,364.0,0,0,1,0,0,0,1,0
Williamsburg,140.0,2.0,9.0,0.11,1.0,254.0,0,1,0,0,0,1,0,0
Harlem,135.0,6.0,187.0,1.87,1.0,189.0,0,0,1,0,0,1,0,0
Park Slope,150.0,2.0,214.0,2.08,2.0,263.0,0,1,0,0,0,1,0,0
Gowanus,190.0,3.0,69.0,0.79,2.0,258.0,0,1,0,0,0,1,0,0
East Harlem,124.0,28.0,22.0,0.26,1.0,103.0,0,0,1,0,0,1,0,0
Williamsburg,135.0,30.0,56.0,0.56,1.0,42.0,0,1,0,0,0,1,0,0
Morningside Heights,122.0,3.0,93.0,0.93,1.0,246.0,0,0,1,0,0,0,1,0
